code,name,geocoder_address,address,locality,municipality,district,postal_code,nature,cicle
249180,"Escola Básica de São Julião do Tojal, Loures","R. Alves Redol, 16, 2660-001 FRIELAS, Loures, Portugal","R. Alves Redol, 16",FRIELAS,Loures,Lisboa,2660-001,Publico,Pré-escolar|1º Ciclo
805965,Jardim de Infância do Complexo Social A Casinha,"Terreiro Alfredo Marceneiro, Nº6, 2815-817 SOBREDA, Almada, Portugal","Terreiro Alfredo Marceneiro, Nº6",SOBREDA,Almada,Setúbal,2815-817,Privado,Pré-escolar
804954,Jardim Escola João De Deus – Albarraque,"Bairro da Tabaqueira - Albarraque, 2635-088 RIO DE MOURO, Sintra, Portugal",Bairro da Tabaqueira - Albarraque,RIO DE MOURO,Sintra,Lisboa,2635-088,Privado,Pré-escolar|1º Ciclo
340157,"Escola Básica do Catujal, Loures","Rua António Sérgio, 2680-330 UNHOS, Loures, Portugal",Rua António Sérgio,UNHOS,Loures,Lisboa,2680-330,Publico,2º Ciclo|3º Ciclo
293660,"Escola Básica Jorge Mineiro, Queluz de Baixo, Oeiras","R. Soeiro Pereira Gomes, 2730-001 BARCARENA, Oeiras, Portugal",R. Soeiro Pereira Gomes,BARCARENA,Oeiras,Lisboa,2730-001,Publico,Pré-escolar|1º Ciclo
639825,"Jardim de Infância Gil Eanes, Pontinha, Odivelas","R. Gil Eanes, 1675-120 PONTINHA, Odivelas, Portugal",R. Gil Eanes,PONTINHA,Odivelas,Lisboa,1675-120,Publico,Pré-escolar
519194,Jardim de Infância do Centro Comunitário PIA I - Santa Casa da Misericórdia Almada,"Rua Raposo de Cima n.º 5, 10 a 15, 2825-099 CAPARICA, Almada, Portugal","Rua Raposo de Cima n.º 5, 10 a 15",CAPARICA,Almada,Setúbal,2825-099,Privado,Pré-escolar
501888,Externato São Miguel Arcanjo,"Avenida Dr. Alfredo Bensaúde - Quinta da Barroquinha, 1800-175 LISBOA, Lisboa, Portugal",Avenida Dr. Alfredo Bensaúde - Quinta da Barroquinha,LISBOA,Lisboa,Lisboa,1800-175,Privado,Pré-escolar|1º Ciclo|2º Ciclo|3º Ciclo
503198,Externato Os Fofinhos,"Rua D. Pedro Cristo, nº 18, 1700-136 LISBOA, Lisboa, Portugal","Rua D. Pedro Cristo, nº 18",LISBOA,Lisboa,Lisboa,1700-136,Privado,Pré-escolar|1º Ciclo
502182,Jardim Escola O Bosque,"Rua Cidade de Benguela, nº 257 - Olivais Sul, 1800-073 LISBOA, Lisboa, Portugal","Rua Cidade de Benguela, nº 257 - Olivais Sul",LISBOA,Lisboa,Lisboa,1800-073,Privado,Pré-escolar|1º Ciclo
518050,Jardim Infantil do Centro Social e Paroquial de Mira Sintra,"Rua de S. Francisco de Assis, 27, 2735-000 AGUALVA-CACÉM, Sintra, Portugal","Rua de S. Francisco de Assis, 27",AGUALVA-CACÉM,Sintra,Lisboa,2735-000,Privado,Pré-escolar
516430,Jardim de Infância do Centro Social Paroquial de São Vicente de Alcabideche - Sede,"Rua Rio das Grades, n.º 190/190-A, 2645-559 ALCABIDECHE, Cascais, Portugal","Rua Rio das Grades, n.º 190/190-A",ALCABIDECHE,Cascais,Lisboa,2645-559,Privado,Pré-escolar
507325,"Externato ""As Joaninhas""","Rua Fonte da Prata, 2845-447 AMORA, Seixal, Portugal",Rua Fonte da Prata,AMORA,Seixal,Setúbal,2845-447,Privado,Pré-escolar|1º Ciclo
502273,Colégio de São João de Brito,"Estrada da Torre, 28, 1769-004 LISBOA, Lisboa, Portugal","Estrada da Torre, 28",LISBOA,Lisboa,Lisboa,1769-004,Privado,Pré-escolar|1º Ciclo|2º Ciclo|3º Ciclo|Secundário
