stop_id,stop_name,tts_stop_name
130667,SÃO GONÇALO (EN 379 10),São Gonçalo ( Estrada Nacional 379 10 )
130669,QTA ASSECA (R CENTRAL),Quinta Asseca ( Rua Central )
130671,BAIXA PALMELA ( 7),Baixa Palmela ( 7 )
130672,BAIXA PALMELA ( 7),Baixa Palmela ( 7 )
130673,ESTR BAIXA PALMELA (QTA DA BOAVISTA),Estrada Baixa Palmela ( Quinta Da Boavista )
130674,ESTR BAIXA PALMELA (QTA DA BOAVISTA),Estrada Baixa Palmela ( Quinta Da Boavista )
130675,ESTR BAIXA PALMELA (PLACA INÍCIO CONCEL),Estrada Baixa Palmela ( Placa Início Concel )
130676,ESTR BAIXA PALMELA (PLACA INÍCIO CONCEL),Estrada Baixa Palmela ( Placa Início Concel )
130677,Bº MARINHEIROS (ESTR 3 CONCEL),Bairro Marinheiros ( Estrada 3 Concel )
130679,Bº MARINHEIROS (R LUIS CAMÕES 8),Bairro Marinheiros ( Rua Luis Camões 8 )
130680,Bº MARINHEIROS (R LUIS CAMÕES 8),Bairro Marinheiros ( Rua Luis Camões 8 )
130682,Bº MARINHEIROS (R FORÇA POVO)C SAÚDE,Bairro Marinheiros ( Rua Força Povo ) Centro De Saúde
130683,Bº ALENTEJANO (R 25 ABRIL) RINGUE,Bairro Alentejano ( Rua 25 Abril ) Ringue
130684,Bº ALENTEJANO (R 25 ABRIL) RINGUE,Bairro Alentejano ( Rua 25 Abril ) Ringue
130685,Bº ALENTEJANO (R 25 ABRIL 13),Bairro Alentejano ( Rua 25 Abril 13 )
130686,Bº ALENTEJANO (R 25 ABRIL 13),Bairro Alentejano ( Rua 25 Abril 13 )
130687,R 25 ABRIL X R DAS FAZENDAS,Cruzamento Entre Rua 25 Abril E Rua Das Fazendas
130688,R 25 ABRIL X R DAS FAZENDAS,Cruzamento Entre Rua 25 Abril E Rua Das Fazendas
130689,MARQUESA I E II (ESTR DAS FONTAINHAS),Marquesa Primeira E Segundo ( Estrada Das Fontainhas )
130690,MARQUESA I E II (ESTR DAS FONTAINHAS),Marquesa Primeira E Segundo ( Estrada Das Fontainhas )
130691,AUTOEUROPA,Autoeuropa
130693,VILA AMÉLIA (AV ANTÓNIO XAVIER DE LIMA),Vila Amélia ( Avenida António Xavier De Lima )
130694,VILA AMÉLIA (AV ANTÓNIO XAVIER DE LIMA),Vila Amélia ( Avenida António Xavier De Lima )
130695,ESTR VILA AMÉLIA 24,Estrada Vila Amélia 24
130696,ESTR VILA AMÉLIA 24,Estrada Vila Amélia 24
130697,ESTR VILA AMÉLIA 172,Estrada Vila Amélia 172
130698,ESTR VILA AMÉLIA 172,Estrada Vila Amélia 172
130699,ESTR VILA AMÉLIA,Estrada Vila Amélia
130700,ESTR VILA AMÉLIA,Estrada Vila Amélia
130701,LANDEIRA (ETAR),Landeira ( Etar )
130702,LANDEIRA (ETAR),Landeira ( Etar )
130703,EN 10 (MOINHO NOVO),Estrada Nacional 10 ( Moinho Novo )
130704,EN 10 (MOINHO NOVO),Estrada Nacional 10 ( Moinho Novo )
130705,EN 10 (PORTO ABRIGO - MARATECA),Estrada Nacional 10 ( Porto Abrigo - Marateca )
130706,EN 10 (PORTO ABRIGO - MARATECA),Estrada Nacional 10 ( Porto Abrigo - Marateca )
130707,ÁGUAS MOURA (AV LIBERDADE 86) CORREIOS,Águas Moura ( Avenida Liberdade 86 ) Correios
130708,ÁGUAS MOURA (AV LIBERDADE 86) CORREIOS,Águas Moura ( Avenida Liberdade 86 ) Correios
130709,PEGÕES (N10 CAMPO E.M. AGRICULTURA),Pegões (estrada Nacional 10 Campo E.m. Agricultura )
130710,PEGÕES (N10 CAMPO E.M. AGRICULTURA),Pegões (estrada Nacional 10 Campo E.m. Agricultura )
130711,N10 FÁBRICA TOMATE,Estrada Nacional 10 Fábrica Tomate
130712,N10 FÁBRICA TOMATE,Estrada Nacional 10 Fábrica Tomate
130713,ALGERUZ (R PRINCIPAL) FÁBRICA MARCÔA,Algeruz ( Rua Principal ) Fábrica Marcôa
130714,Bº ALENTEJANO (R PESSEGUEIROS),Bairro Alentejano ( Rua Pessegueiros )
130715,Bº MARINHEIROS (R RAMIRO SILVA GRILO),Bairro Marinheiros ( Rua Ramiro Silva Grilo )
130716,LAGAMEÇAS XANTES SUPER CTRO M P MARÇAL,Lagameças Cruzamento Antes Super Centro M P Marçal
130717,LAGAMEÇAS (CM1040 510),Lagameças ( Caminho Municipal 1040 510 )
130718,LAGAMEÇAS X R CARDOSOS,Cruzamento Entre Lagameças E Rua Cardosos
